STUDENT_ID,SCHOOL_ID,SECTION_ID
100307,,090170-30
100199,,090170-30
120119,,090170-30
100238,,090170-30
120126,,090170-30
100282,,090170-35
120095,,090170-35
120070,,090170-35
120097,,090170-35
100188,,090170-35
100240,,090170-35
100970,,090170-35
100214,,090170-35
100181,,090170-35
120065,,090170-35
100295,,090170-35
100153,,090170-35
120071,,090170-40
100310,,090170-40
100205,,090170-40
100158,,090170-40
100159,,090170-40
100165,,090170-40
100919,,090170-40
100174,,090170-40
100194,,090170-40
100302,,090170-40
100195,,090170-40
120126,,090170-40
120165,,090170-40
120103,,090170-40
100155,,090170-45
100239,,090170-45
100971,,090170-45
100163,,090170-45
120112,,090170-45
120143,,090170-45
100932,,090170-45
120096,,090170-45
100649,,090170-45
120051,,090170-45
100799,,090170-45
100196,,090170-45
100203,,090170-45
120134,,090170-45
120055,,090270-10
100642,,090270-10
100172,,090270-10
120108,,090270-10
100300,,090270-10
100177,,090270-10
100241,,090270-10
100210,,090270-10
100179,,090270-10
100189,,090270-10
100286,,090270-10
120134,,090270-10
100297,,090270-15
100272,,090270-15
100185,,090270-15
120039,,090270-15
120111,,090270-15
120164,,090270-15
100204,,090270-15
100193,,090270-15
120138,,090270-15
120154,,090270-15
120130,,090270-15
100662,,090270-15
100431,,090270-20
100432,,090270-20
120107,,090270-20
100309,,090270-20
100209,,090270-20
100191,,090270-20
100157,,090270-20
100298,,090270-20
120110,,090270-20
100294,,090270-20
120145,,090270-20
100202,,090270-20
120036,,090270-20
100151,,090270-20
120101,,090270-25
100306,,090270-25
100284,,090270-25
100160,,090270-25
100178,,090270-25
100201,,090270-25
100206,,090270-25
100168,,090270-25
100183,,090270-25
100180,,090270-25
100133,,090270-25
100170,,090270-25
120128,,090270-25
120123,,090270-25
100282,,090270-30
120095,,090270-30
120070,,090270-30
120097,,090270-30
100188,,090270-30
100240,,090270-30
100970,,090270-30
100214,,090270-30
100181,,090270-30
120065,,090270-30
100295,,090270-30
100153,,090270-30
120045,,090270-35
120122,,090270-35
100154,,090270-35
100305,,090270-35
120057,,090270-35
100187,,090270-35
100307,,090270-35
100199,,090270-35
120119,,090270-35
100238,,090270-35
100155,,090270-40
100239,,090270-40
100971,,090270-40
100163,,090270-40
120112,,090270-40
120143,,090270-40
100932,,090270-40
120096,,090270-40
100649,,090270-40
120051,,090270-40
100799,,090270-40
100196,,090270-40
100203,,090270-40
120134,,090270-40
120071,,090270-45
100310,,090270-45
100205,,090270-45
100158,,090270-45
100159,,090270-45
100165,,090270-45
100919,,090270-45
100174,,090270-45
100194,,090270-45
100302,,090270-45
100195,,090270-45
120126,,090270-45
120165,,090270-45
120103,,090270-45
100172,,090370-10
100306,,090370-10
100970,,090370-10
100201,,090370-10
100180,,090370-10
100294,,090370-10
120154,,090370-10
100295,,090370-10
120126,,090370-10
100170,,090370-10
100432,,090370-20
120108,,090370-20
100309,,090370-20
100310,,090370-20
100239,,090370-20
100307,,090370-20
100163,,090370-20
120143,,090370-20
100168,,090370-20
100195,,090370-20
100196,,090370-20
120128,,090370-20
100272,,090370-30
120095,,090370-30
100177,,090370-30
100241,,090370-30
120097,,090370-30
100191,,090370-30
100187,,090370-30
100165,,090370-30
100193,,090370-30
100183,,090370-30
120065,,090370-30
100202,,090370-30
120055,,090370-40
100282,,090370-40
100297,,090370-40
100185,,090370-40
100155,,090370-40
120071,,090370-40
100154,,090370-40
100210,,090370-40
100298,,090370-40
100159,,090370-40
100160,,090370-40
120164,,090370-40
100178,,090370-40
100932,,090370-40
100649,,090370-40
100799,,090370-40
100194,,090370-40
120165,,090370-40
120101,,090370-50
120107,,090370-50
120070,,090370-50
100305,,090370-50
100205,,090370-50
120057,,090370-50
120110,,090370-50
120111,,090370-50
120112,,090370-50
100204,,090370-50
100206,,090370-50
100133,,090370-50
100302,,090370-50
120130,,090370-50
120045,,090370-60
120039,,090370-60
100300,,090370-60
100240,,090370-60
100971,,090370-60
100179,,090370-60
100189,,090370-60
120096,,090370-60
100181,,090370-60
120051,,090370-60
100238,,090370-60
100174,,090370-60
120145,,090370-60
100662,,090370-60
120103,,090370-60
100151,,090370-60
120123,,090370-60
100431,,090370-70
100642,,090370-70
120122,,090370-70
100209,,090370-70
100284,,090370-70
100157,,090370-70
100188,,090370-70
100158,,090370-70
100199,,090370-70
100214,,090370-70
120119,,090370-70
100919,,090370-70
120138,,090370-70
100286,,090370-70
120036,,090370-70
100203,,090370-70
120134,,090370-70
100306,,090701-10
100295,,090701-10
120095,,090701-20
120097,,090701-20
100193,,090701-20
120065,,090701-20
