SECTION_ID,WEEKDAY_NAME,BLOCK_NAME,ROOM
094014-20,Thursday,Period 3 (US),US Classroom 303 Math
094014-20,Friday,Period 4 (US),US Classroom 304
095001-20,Monday,Period 7 (US),US Classroom 504 Bio Lab
095001-20,Tuesday,Period 7 (US),US Classroom 504 Bio Lab
095001-20,Wednesday,Period 6 (US),US Classroom 504 Bio Lab
095001-20,Friday,Period 6 (US),US Classroom 504 Bio Lab
095001-40,Monday,Period 1 (US),US Classroom 504 Bio Lab
095001-40,Tuesday,Period 4 (US),US Classroom 504 Bio Lab
095001-40,Wednesday,Period 1 (US),US Classroom 504 Bio Lab
095001-40,Thursday,Period 10 (US),US Classroom 504 Bio Lab
095002-10,Monday,Period 4 (US),US Classroom 503 Chem Lab
095002-10,Tuesday,Period 1 (US),US Classroom 503 Chem Lab
095002-10,Thursday,Period 8 (US),US Classroom 503 Chem Lab
095002-10,Friday,Period 3 (US),US Classroom 503 Chem Lab
095002-20,Monday,Period 7 (US),US Classroom 604
095002-20,Tuesday,Period 7 (US),US Classroom 503 Chem Lab
095002-20,Wednesday,Period 6 (US),US Classroom 503 Chem Lab
095002-20,Friday,Period 6 (US),US Classroom 503 Chem Lab
095003-10,Monday,Period 4 (US),US Classroom 504 Bio Lab
095003-10,Tuesday,Period 1 (US),US Classroom 504 Bio Lab
095003-10,Thursday,Period 8 (US),US Classroom 504 Bio Lab
095003-10,Friday,Period 3 (US),US Classroom 504 Bio Lab
095011-30,Monday,Period 10 (US),US Classroom 504 Bio Lab
095011-30,Tuesday,Period 2 (US),US Classroom 504 Bio Lab
095011-30,Wednesday,Period 2 (US),US Classroom 503 Chem Lab
095011-30,Thursday,Period 7 (US),US Classroom 503 Chem Lab
095011-40,Monday,Period 1 (US),US Classroom 507
095011-40,Tuesday,Period 4 (US),US Classroom 503 Chem Lab
095011-40,Wednesday,Period 1 (US),US Classroom 503 Chem Lab
095011-40,Thursday,Period 10 (US),US Classroom 503 Chem Lab
095400-10,Monday,Period 9 (US),US Classroom 704 Computer
095400-10,Wednesday,Period 3 (US),US Classroom 704 Computer
095400-20,Wednesday,Period 7 (US),US Classroom 704 Computer
095400-20,Friday,Period 4 (US),US Classroom 704 Computer
095400-30,Tuesday,Period 6 (US),US Classroom 704 Computer
095400-30,Thursday,Period 9 (US),US Classroom 704 Computer
095400-40,Wednesday,Period 7 (US),US Classroom 703
095400-40,Friday,Period 4 (US),US Classroom 703
095400-50,Monday,Period 9 (US),US Classroom 703
095400-50,Wednesday,Period 3 (US),US Classroom 703
095400-60,Tuesday,Period 3 (US),US Classroom 704 Computer
095400-60,Thursday,Period 3 (US),US Classroom 704 Computer
095400-70,Tuesday,Period 6 (US),US Classroom 703
095400-70,Thursday,Period 9 (US),US Classroom 703
095400-80,Tuesday,Period 3 (US),US Classroom 703
095400-80,Thursday,Period 3 (US),US Classroom 703
096001-10,Monday,Period 8 (US),US Classroom 601
096001-10,Wednesday,Period 4 (US),US Classroom 602
096001-10,Thursday,Period 4 (US),US Classroom 601
096001-10,Friday,Period 1 (US),US Classroom 307
096002-10,Monday,Period 8 (US),US Classroom 302
096002-10,Wednesday,Period 4 (US),US Classroom 601
096002-10,Thursday,Period 4 (US),US Classroom 302
096002-10,Friday,Period 1 (US),US Classroom 501
096002-20,Monday,Period 8 (US),US Classroom 305
096002-20,Wednesday,Period 4 (US),US Classroom 401
096002-20,Thursday,Period 4 (US),US Classroom 306
096002-20,Friday,Period 1 (US),US Classroom 506
096411-10,Monday,Period 2 (US),US Classroom 502 Phys Lab
