STUDENT_ID,SCHOOL_ID,SECTION_ID
100295,Upper,091000-40
100202,Upper,091000-40
100302,Upper,091000-40
100195,Upper,091000-40
100662,Upper,091000-40
100151,Upper,091000-40
120128,Upper,091000-40
100642,Upper,091004-35
100210,Upper,091004-35
100209,Upper,091004-35
100187,Upper,091004-35
100188,Upper,091004-35
100163,Upper,091004-35
100919,Upper,091004-35
100649,Upper,091004-35
100799,Upper,091004-35
120036,Upper,091004-35
100170,Upper,091004-35
100432,Upper,091004-45
120095,Upper,091004-45
120039,Upper,091004-45
100300,Upper,091004-45
100305,Upper,091004-45
120097,Upper,091004-45
120111,Upper,091004-45
100204,Upper,091004-45
100238,Upper,091004-45
100194,Upper,091004-45
100642,Upper,092000-10
100272,Upper,092000-10
100185,Upper,092000-10
100305,Upper,092000-10
100191,Upper,092000-10
100240,Upper,092000-10
120111,Upper,092000-10
100165,Upper,092000-10
120112,Upper,092000-10
100214,Upper,092000-10
120119,Upper,092000-10
120138,Upper,092000-10
120096,Upper,092000-10
100286,Upper,092000-10
100194,Upper,092000-10
100202,Upper,092000-10
100302,Upper,092000-10
120130,Upper,092000-10
100203,Upper,092000-10
120055,Upper,092000-15
120101,Upper,092000-15
100155,Upper,092000-15
120107,Upper,092000-15
100154,Upper,092000-15
100177,Upper,092000-15
100241,Upper,092000-15
100205,Upper,092000-15
120057,Upper,092000-15
100298,Upper,092000-15
100159,Upper,092000-15
100199,Upper,092000-15
100179,Upper,092000-15
100181,Upper,092000-15
100649,Upper,092000-15
120165,Upper,092000-15
100151,Upper,092000-15
120045,Upper,092000-20
120039,Upper,092000-20
120122,Upper,092000-20
100300,Upper,092000-20
100209,Upper,092000-20
100188,Upper,092000-20
100971,Upper,092000-20
100204,Upper,092000-20
100201,Upper,092000-20
100206,Upper,092000-20
100168,Upper,092000-20
100919,Upper,092000-20
100189,Upper,092000-20
120051,Upper,092000-20
100238,Upper,092000-20
100133,Upper,092000-20
100174,Upper,092000-20
120145,Upper,092000-20
100195,Upper,092000-20
100662,Upper,092000-20
120036,Upper,092000-20
100170,Upper,092000-20
100432,Upper,092000-30
100297,Upper,092000-30
100172,Upper,092000-30
120095,Upper,092000-30
120071,Upper,092000-30
120108,Upper,092000-30
100284,Upper,092000-30
100157,Upper,092000-30
100307,Upper,092000-30
100178,Upper,092000-30
120143,Upper,092000-30
100295,Upper,092000-30
100196,Upper,092000-30
120134,Upper,092000-30
100431,Upper,092000-35
100310,Upper,092000-35
120097,Upper,092000-35
